feedback_id,order_id,raw_sentiment_label,review_text,rating,feedback_date
FDBK_4051,ORD_3067,__label__1,Terrible experience with this item,2.0,2024-12-05
FDBK_4052,ORD_5779,__label__1,Delivery was late and product was damaged,1.0,2024-11-06
FDBK_4053,ORD_7337,__label__1,Terrible experience with this item,2.0,2024-08-02
FDBK_4054,ORD_7709,__label__2,Amazing quality and fast delivery,5.0,2024-04-15
FDBK_4055,ORD_7191,__label__2,Excellent product and very useful,5.0,2024-10-17
FDBK_4056,ORD_5561,__label__2,Excellent product and very useful,4.0,2024-06-19
FDBK_4057,ORD_4699,__label__2,Amazing quality and fast delivery,4.0,2024-11-19
FDBK_4058,ORD_6544,__label__1,Delivery was late and product was damaged,1.0,2023-07-30
FDBK_4059,ORD_5066,__label__2,Excellent product and very useful,4.0,2024-08-15
FDBK_4060,ORD_5194,__label__2,Amazing quality and fast delivery,5.0,2024-08-01
FDBK_4061,ORD_6605,__label__1,Very poor quality and disappointing,2.0,2023-05-26
FDBK_4062,ORD_7537,__label__1,Not worth the price,2.0,2024-10-15
FDBK_4063,ORD_5658,__label__2,  amazing quality and fast delivery  ,4.0,2023-06-26
FDBK_4064,ORD_3722,__label__2,,4.0,2024-08-28
FDBK_4065,ORD_6584,__label__2,Very happy with this purchase,4.0,2024-12-01
FDBK_4066,ORD_5893,__label__2,Amazing quality and fast delivery,5.0,2023-09-21
FDBK_4067,ORD_5996,__label__1,  amazing quality and fast delivery  ,2.0,2023-12-12
FDBK_4068,ORD_5894,__label__2,Very happy with this purchase,5.0,2023-01-10
FDBK_4069,ORD_4136,__label__2,Amazing quality and fast delivery,4.0,2023-01-10
FDBK_4070,ORD_7494,__label__1,Delivery was late and product was damaged,2.0,2023-05-22
FDBK_4071,ORD_4098,__label__1,Very poor quality and disappointing,1.0,2023-11-20
FDBK_4072,ORD_3315,__label__2,Loved it and will buy again,4.0,2024-01-03
FDBK_4073,ORD_3373,__label__2,Amazing quality and fast delivery,5.0,2024-01-21
FDBK_4074,ORD_6128,__label__2,Loved it and will buy again,4.0,2023-05-04
FDBK_4075,ORD_4558,__label__1,Waste of money and bad product,2.0,2024-10-19
FDBK_4076,ORD_7541,__label__2,Amazing quality and fast delivery,4.0,2023-01-16
FDBK_4077,ORD_7160,__label__2,Good product worth the price,4.0,2023-08-24
FDBK_4078,ORD_6951,__label__2,Good product worth the price,4.0,2023-08-19
FDBK_4079,ORD_7722,__label__2,Very happy with this purchase,5.0,2023-12-16
FDBK_4080,ORD_5102,__label__1,Terrible experience with this item,1.0,2024-01-29
FDBK_4081,ORD_5609,__label__2,Amazing quality and fast delivery,4.0,2023-10-31
FDBK_4082,ORD_7388,__label__2,Very happy with this purchase,5.0,2023-03-09
FDBK_4083,ORD_5038,__label__2,Excellent product and very useful,5.0,2024-04-16
FDBK_4084,ORD_6371,__label__2,Amazing quality and fast delivery,5.0,2024-05-25
FDBK_4085,ORD_7647,__label__1,Very poor quality and disappointing,1.0,2024-03-24
FDBK_4086,ORD_6519,__label__1,,1.0,2024-02-17
FDBK_4087,ORD_4611,__label__2,Good product worth the price,5.0,2023-07-01
FDBK_4088,ORD_5239,__label__2,Very happy with this purchase,5.0,2023-03-30
FDBK_4089,ORD_5748,__label__2,Excellent product and very useful,4.0,2023-12-20
FDBK_4090,ORD_5081,__label__1,Waste of money and bad product,2.0,2023-08-18
FDBK_4091,ORD_6061,__label__1,Terrible experience with this item,1.0,2023-08-07
FDBK_4092,ORD_5083,__label__1,Delivery was late and product was damaged,2.0,2024-01-11
FDBK_4093,ORD_6438,__label__2,Amazing quality and fast delivery,5.0,2024-08-20
FDBK_4094,ORD_3546,__label__2,Good product worth the price,4.0,2024-07-16
FDBK_4095,ORD_7292,__label__2,Good product worth the price,5.0,2023-12-30
FDBK_4096,ORD_7684,__label__2,VERY POOR QUALITY AND DISAPPOINTING,4.0,2024-01-27
FDBK_4097,ORD_3325,__label__1,Waste of money and bad product,2.0,2023-08-07
FDBK_4098,ORD_6961,__label__1,Delivery was late and product was damaged,2.0,2024-03-22
FDBK_4099,ORD_5321,__label__2,Amazing quality and fast delivery,5.0,2023-05-27
FDBK_4100,ORD_5210,__label__2,Amazing quality and fast delivery,4.0,2024-08-27
FDBK_4101,ORD_5529,__label__1,Terrible experience with this item,2.0,2023-05-07
FDBK_4102,ORD_6792,__label__1,Terrible experience with this item,2.0,2024-05-26
FDBK_4103,ORD_6410,__label__1,Delivery was late and product was damaged,1.0,2023-09-13
FDBK_4104,ORD_7208,__label__2,Loved it and will buy again,4.0,2023-12-26
FDBK_4105,ORD_4213,__label__2,Good product worth the price,5.0,2024-11-29
FDBK_4106,ORD_3439,__label__2,VERY POOR QUALITY AND DISAPPOINTING,,2024-01-09
FDBK_4107,ORD_4451,__label__1,Not worth the price,2.0,2023-10-16
FDBK_4108,ORD_5613,__label__2,Very happy with this purchase,4.0,2023-04-15
FDBK_4109,ORD_5597,__label__1,Waste of money and bad product,2.0,2023-08-28
FDBK_4110,ORD_3454,__label__2,Amazing quality and fast delivery,5.0,2024-05-07
FDBK_4111,ORD_5422,__label__2,Loved it and will buy again,4.0,2024-04-09
FDBK_4112,ORD_4906,__label__1,,1.0,2024-05-18
FDBK_4113,ORD_3437,__label__2,  amazing quality and fast delivery  ,5.0,2023-04-09
FDBK_4114,ORD_3242,__label__2,Excellent product and very useful,5.0,2023-08-07
FDBK_4115,ORD_7487,__label__2,Excellent product and very useful,4.0,2024-07-15
FDBK_4116,ORD_6872,__label__2,Amazing quality and fast delivery,4.0,2024-07-03
FDBK_4117,ORD_5924,__label__1,Waste of money and bad product,2.0,2023-05-05
FDBK_4118,ORD_3588,__label__1,Not worth the price,1.0,2023-08-18
FDBK_4119,ORD_6029,__label__2,Loved it and will buy again,4.0,2024-01-18
FDBK_4120,ORD_6201,__label__2,Excellent product and very useful,4.0,2023-08-18
FDBK_4121,ORD_6617,__label__1,Not worth the price,1.0,2024-07-11
FDBK_4122,ORD_5261,__label__1,  amazing quality and fast delivery  ,2.0,2023-09-16
FDBK_4123,ORD_6550,__label__2,Loved it and will buy again,4.0,2024-01-16
FDBK_4124,ORD_7364,__label__2,Good product worth the price,5.0,2023-09-30
FDBK_4125,ORD_3624,__label__2,Loved it and will buy again,5.0,2023-03-04
FDBK_4126,ORD_6950,__label__1,Delivery was late and product was damaged,2.0,2023-07-13
FDBK_4127,ORD_7791,__label__1,Terrible experience with this item,2.0,2023-12-06
FDBK_4128,ORD_3882,__label__2,Excellent product and very useful,5.0,2023-12-30
FDBK_4129,ORD_7919,__label__1,Very poor quality and disappointing,2.0,2023-04-13
FDBK_4130,ORD_7007,__label__1,,2.0,2024-08-12
FDBK_4131,ORD_7482,__label__2,Very happy with this purchase,4.0,2024-05-16
FDBK_4132,ORD_4382,__label__1,Delivery was late and product was damaged,1.0,2024-08-03
FDBK_4133,ORD_5647,__label__2,Excellent product and very useful,5.0,2024-10-27
FDBK_4134,ORD_3531,__label__1,Delivery was late and product was damaged,1.0,2024-06-26
FDBK_4135,ORD_5410,__label__1,Not worth the price,2.0,2024-03-09
FDBK_4136,ORD_4713,__label__2,Amazing quality and fast delivery,4.0,2024-03-19
FDBK_4137,ORD_5320,__label__1,Not worth the price,2.0,2024-05-25
FDBK_4138,ORD_4888,__label__2,Excellent product and very useful,4.0,2023-04-16
FDBK_4139,ORD_7926,__label__2,Very happy with this purchase,4.0,2024-06-24
FDBK_4140,ORD_7958,__label__2,Loved it and will buy again,5.0,2024-10-02
FDBK_4141,ORD_6526,__label__1,Waste of money and bad product,2.0,2024-10-08
FDBK_4142,ORD_7495,__label__1,Terrible experience with this item,2.0,2024-11-21
FDBK_4143,ORD_4423,__label__2,  amazing quality and fast delivery  ,5.0,2023-02-19
FDBK_4144,ORD_6279,__label__2,Very happy with this purchase,5.0,2023-05-13
FDBK_4145,ORD_4988,__label__2,Loved it and will buy again,5.0,2023-08-17
FDBK_4146,ORD_6461,__label__2,Loved it and will buy again,4.0,2024-06-03
FDBK_4147,ORD_4489,__label__2,Amazing quality and fast delivery,5.0,2024-12-23
FDBK_4148,ORD_6938,__label__2,Amazing quality and fast delivery,5.0,2024-06-25
FDBK_4149,ORD_4295,__label__2,Very happy with this purchase,4.0,2023-02-08
FDBK_4150,ORD_6792,__label__2,Amazing quality and fast delivery,5.0,2023-11-08
FDBK_4151,ORD_7176,__label__2,Loved it and will buy again,4.0,2024-06-06
FDBK_4152,ORD_4251,__label__2,Loved it and will buy again,5.0,2024-10-25
FDBK_4153,ORD_4498,__label__1,Very poor quality and disappointing,2.0,2023-12-01
FDBK_4154,ORD_4896,__label__2,Loved it and will buy again,5.0,2023-03-23
FDBK_4155,ORD_7048,__label__1,Delivery was late and product was damaged,1.0,2023-07-08
FDBK_4156,ORD_6935,__label__2,Good product worth the price,5.0,2024-05-22
FDBK_4157,ORD_4195,__label__2,Excellent product and very useful,5.0,2024-08-26
FDBK_4158,ORD_5502,__label__2,Excellent product and very useful,4.0,2023-06-14
FDBK_4159,ORD_5438,__label__2,Very happy with this purchase,5.0,2023-10-23
FDBK_4160,ORD_5798,__label__2,Very happy with this purchase,4.0,2024-10-24
FDBK_4161,ORD_6784,__label__2,Amazing quality and fast delivery,5.0,2024-08-18
FDBK_4162,ORD_7919,__label__2,Excellent product and very useful,5.0,2023-05-10
FDBK_4163,ORD_4329,__label__2,Amazing quality and fast delivery,5.0,2024-02-10
FDBK_4164,ORD_7100,__label__1,Terrible experience with this item,2.0,2023-11-20
FDBK_4165,ORD_3142,__label__1,,2.0,2023-05-06
FDBK_4166,ORD_7620,__label__2,Excellent product and very useful,5.0,2023-08-01
FDBK_4167,ORD_7311,__label__2,  amazing quality and fast delivery  ,5.0,2024-10-08
FDBK_4168,ORD_3014,__label__2,Excellent product and very useful,4.0,2024-11-04
FDBK_4169,ORD_3810,__label__2,Loved it and will buy again,4.0,2024-11-24
FDBK_4170,ORD_4528,__label__1,Waste of money and bad product,2.0,2024-08-27
FDBK_4171,ORD_5891,__label__2,Amazing quality and fast delivery,5.0,2023-09-18
FDBK_4172,ORD_6386,__label__2,Good product worth the price,5.0,2024-12-16
FDBK_4173,ORD_7643,__label__1,Terrible experience with this item,1.0,2024-10-31
FDBK_4174,ORD_3873,__label__2,Amazing quality and fast delivery,4.0,2023-07-11
FDBK_4175,ORD_7941,__label__1,  amazing quality and fast delivery  ,1.0,2024-11-20
FDBK_4176,ORD_5539,__label__2,  amazing quality and fast delivery  ,4.0,2024-10-24
FDBK_4177,ORD_4998,__label__2,Loved it and will buy again,5.0,2024-07-30
FDBK_4178,ORD_3519,__label__2,Good product worth the price,4.0,2023-07-09
FDBK_4179,ORD_5631,__label__1,Waste of money and bad product,2.0,2023-07-05
FDBK_4180,ORD_5139,__label__2,Loved it and will buy again,5.0,2024-05-08
FDBK_4181,ORD_7933,__label__2,Amazing quality and fast delivery,4.0,2023-10-19
FDBK_4182,ORD_3292,__label__1,Delivery was late and product was damaged,2.0,2024-05-10
FDBK_4183,ORD_3830,__label__1,Not worth the price,2.0,2024-11-12
FDBK_4184,ORD_3786,__label__1,Delivery was late and product was damaged,2.0,2023-04-06
FDBK_4185,ORD_4856,__label__2,Good product worth the price,5.0,2023-01-21
FDBK_4186,ORD_3475,__label__2,Loved it and will buy again,5.0,2023-12-30
FDBK_4187,ORD_7436,__label__1,Not worth the price,1.0,2023-01-18
FDBK_4188,ORD_5617,__label__2,Excellent product and very useful,4.0,2023-03-12
FDBK_4189,ORD_7207,__label__1,Waste of money and bad product,2.0,2024-12-24
FDBK_4190,ORD_4370,__label__2,Amazing quality and fast delivery,5.0,2024-03-03
FDBK_4191,ORD_4964,__label__2,Excellent product and very useful,4.0,2023-02-22
FDBK_4192,ORD_3407,__label__2,Very happy with this purchase,5.0,2023-11-03
FDBK_4193,ORD_6565,__label__2,Excellent product and very useful,5.0,2023-08-25
FDBK_4194,ORD_6506,__label__1,Terrible experience with this item,1.0,2024-02-27
FDBK_4195,ORD_3694,__label__1,Terrible experience with this item,2.0,2023-04-27
FDBK_4196,ORD_3631,__label__2,Amazing quality and fast delivery,5.0,2024-11-27
FDBK_4197,ORD_4864,__label__1,Terrible experience with this item,1.0,2024-10-05
FDBK_4198,ORD_6521,__label__2,Amazing quality and fast delivery,5.0,2024-01-24
FDBK_4199,ORD_4367,__label__2,Excellent product and very useful,5.0,2024-10-11
FDBK_4200,ORD_6896,__label__2,Excellent product and very useful,5.0,2023-02-10
FDBK_4201,ORD_3322,__label__2,Excellent product and very useful,4.0,2024-03-17
FDBK_4202,ORD_5140,__label__2,Amazing quality and fast delivery,4.0,2023-12-31
FDBK_4203,ORD_3787,__label__1,Very poor quality and disappointing,2.0,2023-03-11
FDBK_4204,ORD_6872,__label__2,Excellent product and very useful,5.0,2024-10-24
FDBK_4205,ORD_4463,__label__2,Very happy with this purchase,5.0,2023-03-10
FDBK_4206,ORD_4599,__label__2,  amazing quality and fast delivery  ,5.0,2024-10-24
FDBK_4207,ORD_3027,__label__2,Loved it and will buy again,4.0,2024-08-10
FDBK_4208,ORD_4562,__label__1,Waste of money and bad product,2.0,2023-12-13
FDBK_4209,ORD_3721,__label__2,Very happy with this purchase,5.0,2024-05-31
FDBK_4210,ORD_3503,__label__1,Not worth the price,1.0,2024-07-19
FDBK_4211,ORD_6576,__label__1,Waste of money and bad product,1.0,2024-10-27
FDBK_4212,ORD_4677,__label__2,Loved it and will buy again,4.0,2024-09-16
FDBK_4213,ORD_4027,__label__1,Waste of money and bad product,1.0,2024-04-22
FDBK_4214,ORD_5539,__label__1,Terrible experience with this item,1.0,2024-02-17
FDBK_4215,ORD_5251,__label__1,Terrible experience with this item,1.0,2023-05-24
FDBK_4216,ORD_3991,__label__1,Not worth the price,,2024-06-16
FDBK_4217,ORD_7739,__label__2,Amazing quality and fast delivery,4.0,2023-11-02
FDBK_4218,ORD_7071,__label__1,Not worth the price,2.0,2024-10-22
FDBK_4219,ORD_4002,__label__2,Good product worth the price,4.0,2023-05-01
FDBK_4220,ORD_7052,__label__1,Waste of money and bad product,1.0,2024-11-06
FDBK_4221,ORD_5856,__label__2,  amazing quality and fast delivery  ,4.0,2024-12-20
FDBK_4222,ORD_4079,__label__2,Excellent product and very useful,5.0,2023-12-03
FDBK_4223,ORD_3051,__label__2,Good product worth the price,5.0,2023-12-28
FDBK_4224,ORD_7362,__label__2,Very happy with this purchase,4.0,2024-08-05
FDBK_4225,ORD_7145,__label__2,VERY POOR QUALITY AND DISAPPOINTING,4.0,2023-02-23
FDBK_4226,ORD_3893,__label__2,,4.0,2023-06-15
FDBK_4227,ORD_3076,__label__2,Good product worth the price,5.0,2023-12-22
FDBK_4228,ORD_7411,__label__2,Excellent product and very useful,4.0,2024-09-10
FDBK_4229,ORD_4208,__label__2,Excellent product and very useful,4.0,2024-10-15
FDBK_4230,ORD_5991,__label__2,Excellent product and very useful,5.0,2024-08-14
FDBK_4231,ORD_5288,__label__2,Good product worth the price,5.0,2024-01-30
FDBK_4232,ORD_7676,__label__2,Very happy with this purchase,4.0,2024-08-12
FDBK_4233,ORD_7660,__label__2,Excellent product and very useful,4.0,2024-02-20
FDBK_4234,ORD_4131,__label__1,Waste of money and bad product,2.0,2023-03-06
FDBK_4235,ORD_4582,__label__2,Amazing quality and fast delivery,5.0,2024-07-04
FDBK_4236,ORD_6762,__label__1,Waste of money and bad product,2.0,2024-09-06
FDBK_4237,ORD_4980,__label__2,Loved it and will buy again,4.0,2023-12-16
FDBK_4238,ORD_5190,__label__2,Good product worth the price,4.0,2023-10-07
FDBK_4239,ORD_3791,__label__2,Amazing quality and fast delivery,5.0,2023-03-20
FDBK_4240,ORD_3649,__label__2,Good product worth the price,,2023-06-18
FDBK_4241,ORD_3173,__label__2,Amazing quality and fast delivery,4.0,2024-04-23
FDBK_4242,ORD_7575,__label__2,Very happy with this purchase,5.0,2023-02-11
FDBK_4243,ORD_5577,__label__1,Not worth the price,2.0,2023-12-25
FDBK_4244,ORD_4413,__label__1,Waste of money and bad product,2.0,2023-11-21
FDBK_4245,ORD_7879,__label__2,Excellent product and very useful,4.0,2024-12-13
FDBK_4246,ORD_5780,__label__2,Good product worth the price,4.0,2023-05-04
FDBK_4247,ORD_4788,__label__1,Terrible experience with this item,2.0,2023-04-10
FDBK_4248,ORD_7293,__label__2,Excellent product and very useful,5.0,2023-03-09
FDBK_4249,ORD_5481,__label__1,Very poor quality and disappointing,1.0,2023-11-20
FDBK_4250,ORD_4569,__label__1,Terrible experience with this item,1.0,2024-09-17
FDBK_4251,ORD_4597,__label__2,Excellent product and very useful,5.0,2023-11-14
FDBK_4252,ORD_3635,__label__2,Excellent product and very useful,4.0,2023-12-10
FDBK_4253,ORD_5369,__label__1,Waste of money and bad product,2.0,2023-04-25
FDBK_4254,ORD_6228,__label__2,Amazing quality and fast delivery,5.0,2024-08-09
FDBK_4255,ORD_7038,__label__2,Good product worth the price,4.0,2023-10-06
FDBK_4256,ORD_4690,__label__1,Not worth the price,1.0,2023-01-11
FDBK_4257,ORD_5967,__label__1,Not worth the price,1.0,2024-09-19
FDBK_4258,ORD_4656,__label__1,Waste of money and bad product,1.0,2024-06-01
FDBK_4259,ORD_6989,__label__1,Not worth the price,2.0,2024-04-13
FDBK_4260,ORD_5526,__label__2,Excellent product and very useful,5.0,2023-08-22
FDBK_4261,ORD_4880,__label__2,Amazing quality and fast delivery,5.0,2023-03-24
FDBK_4262,ORD_4986,__label__2,Good product worth the price,4.0,2023-06-05
FDBK_4263,ORD_3081,__label__2,Excellent product and very useful,5.0,2023-12-26
FDBK_4264,ORD_7576,__label__2,VERY POOR QUALITY AND DISAPPOINTING,4.0,2024-04-27
FDBK_4265,ORD_7454,__label__1,  amazing quality and fast delivery  ,2.0,2024-05-20
FDBK_4266,ORD_7958,__label__2,Good product worth the price,4.0,2023-10-07
FDBK_4267,ORD_3045,__label__2,Very happy with this purchase,4.0,2024-12-11
FDBK_4268,ORD_3757,__label__2,Good product worth the price,5.0,2023-02-11
FDBK_4269,ORD_5186,__label__2,Loved it and will buy again,5.0,2024-05-14
FDBK_4270,ORD_4491,__label__2,Good product worth the price,4.0,2023-08-27
FDBK_4271,ORD_4811,__label__2,Amazing quality and fast delivery,4.0,2023-09-25
FDBK_4272,ORD_5557,__label__1,Waste of money and bad product,2.0,2024-09-08
FDBK_4273,ORD_4302,__label__2,Very happy with this purchase,5.0,2023-05-06
FDBK_4274,ORD_4982,__label__2,Amazing quality and fast delivery,4.0,2024-03-13
FDBK_4275,ORD_5875,__label__2,Excellent product and very useful,5.0,2023-02-19
FDBK_4276,ORD_4950,__label__1,Terrible experience with this item,2.0,2023-06-06
FDBK_4277,ORD_3367,__label__1,Terrible experience with this item,1.0,2024-08-20
FDBK_4278,ORD_3840,__label__1,Very poor quality and disappointing,1.0,2024-11-24
FDBK_4279,ORD_6017,__label__2,Very happy with this purchase,5.0,2023-09-16
FDBK_4280,ORD_6768,__label__1,Very poor quality and disappointing,2.0,2024-11-25
FDBK_4281,ORD_7529,__label__2,Excellent product and very useful,4.0,2023-08-09
FDBK_4282,ORD_3169,__label__1,Terrible experience with this item,1.0,2023-04-12
FDBK_4283,ORD_5711,__label__2,Good product worth the price,4.0,2023-04-25
FDBK_4284,ORD_7293,__label__2,Loved it and will buy again,5.0,2023-12-13
FDBK_4285,ORD_7915,__label__2,Loved it and will buy again,5.0,2023-02-18
FDBK_4286,ORD_5193,__label__2,Amazing quality and fast delivery,5.0,2023-12-28
FDBK_4287,ORD_7197,__label__2,Excellent product and very useful,4.0,2023-10-23
FDBK_4288,ORD_6361,__label__2,Loved it and will buy again,4.0,2023-05-08
FDBK_4289,ORD_4390,__label__1,Very poor quality and disappointing,1.0,2023-03-02
FDBK_4290,ORD_7201,__label__2,Amazing quality and fast delivery,4.0,2023-04-08
FDBK_4291,ORD_3780,__label__2,Excellent product and very useful,4.0,2023-03-20
FDBK_4292,ORD_3175,__label__2,Loved it and will buy again,4.0,2023-07-29
FDBK_4293,ORD_6310,__label__2,Excellent product and very useful,5.0,2024-08-09
FDBK_4294,ORD_6458,__label__1,Waste of money and bad product,1.0,2023-09-28
FDBK_4295,ORD_7886,__label__1,Not worth the price,2.0,2024-08-21
FDBK_4296,ORD_4046,__label__1,Very poor quality and disappointing,2.0,2023-11-29
FDBK_4297,ORD_7173,__label__2,Loved it and will buy again,5.0,2023-01-04
FDBK_4298,ORD_3052,__label__2,Amazing quality and fast delivery,4.0,2024-04-27
FDBK_4299,ORD_4378,__label__2,Loved it and will buy again,4.0,2023-09-08
FDBK_4300,ORD_4038,__label__2,Loved it and will buy again,5.0,2024-11-11
FDBK_4301,ORD_7014,__label__2,Excellent product and very useful,4.0,2023-05-16
FDBK_4302,ORD_5146,__label__2,  amazing quality and fast delivery  ,5.0,2023-09-10
FDBK_4303,ORD_3411,__label__1,Very poor quality and disappointing,2.0,2023-08-10
FDBK_4304,ORD_6006,__label__2,Good product worth the price,5.0,2023-05-27
FDBK_4305,ORD_3818,__label__1,Terrible experience with this item,2.0,2024-10-18
FDBK_4306,ORD_7555,__label__2,Loved it and will buy again,4.0,2024-06-25
FDBK_4307,ORD_3306,__label__1,  amazing quality and fast delivery  ,2.0,2024-10-16
FDBK_4308,ORD_5490,__label__1,Delivery was late and product was damaged,2.0,2023-04-02
FDBK_4309,ORD_4911,__label__2,Very happy with this purchase,5.0,2024-07-02
FDBK_4310,ORD_5745,__label__1,Waste of money and bad product,2.0,2023-12-06
FDBK_4311,ORD_4706,__label__1,Delivery was late and product was damaged,1.0,2024-10-25
FDBK_4312,ORD_7010,__label__2,Amazing quality and fast delivery,4.0,2024-05-25
FDBK_4313,ORD_7305,__label__2,Very happy with this purchase,4.0,2024-05-28
FDBK_4314,ORD_5996,__label__2,Good product worth the price,4.0,2024-07-09
FDBK_4315,ORD_3796,__label__1,Waste of money and bad product,2.0,2024-07-14
FDBK_4316,ORD_4967,__label__2,Very happy with this purchase,5.0,2024-04-05
FDBK_4317,ORD_3567,__label__1,Not worth the price,1.0,2023-01-16
FDBK_4318,ORD_4147,__label__2,Very happy with this purchase,5.0,2023-12-03
FDBK_4319,ORD_5242,__label__1,Very poor quality and disappointing,1.0,2023-12-16
FDBK_4320,ORD_4579,__label__1,Very poor quality and disappointing,2.0,2024-08-18
FDBK_4321,ORD_5496,__label__2,Good product worth the price,4.0,2024-07-30
FDBK_4322,ORD_6238,__label__2,Loved it and will buy again,5.0,2023-08-26
FDBK_4323,ORD_6660,__label__1,,1.0,2023-12-13
FDBK_4324,ORD_5894,__label__2,Excellent product and very useful,4.0,2023-07-08
FDBK_4325,ORD_3284,__label__2,Excellent product and very useful,5.0,2024-04-16
FDBK_4326,ORD_7249,__label__2,Loved it and will buy again,4.0,2023-10-25
FDBK_4327,ORD_5070,__label__2,Amazing quality and fast delivery,4.0,2023-12-07
FDBK_4328,ORD_5013,__label__2,Loved it and will buy again,5.0,2024-09-15
FDBK_4329,ORD_3168,__label__1,Delivery was late and product was damaged,2.0,2024-09-05
FDBK_4330,ORD_3815,__label__2,Amazing quality and fast delivery,4.0,2023-10-08
FDBK_4331,ORD_4915,__label__2,Very happy with this purchase,4.0,2024-09-04
FDBK_4332,ORD_3310,__label__2,Excellent product and very useful,,2024-06-08
FDBK_4333,ORD_7984,__label__1,Waste of money and bad product,1.0,2024-05-24
FDBK_4334,ORD_7502,__label__1,Delivery was late and product was damaged,2.0,2024-12-28
